Food Name,Portion Size,Calories (kcal)
Baby Toddler wheels,N/A,413
Baby Toddler yogurt melts,N/A,380
"Baby Toddler yogurt, plain",N/A,78
"Baby Toddler yogurt, with fruit",N/A,98
"Babyfood, apple yogurt dessert, strained",N/A,389
"Babyfood, apple-banana juice",N/A,51
"Babyfood, apples with ham, strained",N/A,259
"Babyfood, apples, dices, toddler",N/A,210
"Babyfood, Baby MUM MUM Rice Biscuits",N/A,1640
"Babyfood, baked product, finger snacks cereal fortified",N/A,421
"Babyfood, banana apple dessert, strained",N/A,68
"Babyfood, banana juice with low fat yogurt",N/A,358
"Babyfood, banana no tapioca, strained",N/A,91
"Babyfood, banana with mixed berries, strained",N/A,385
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",N/A,29
"Babyfood, carrots and beef, strained",N/A,247
"Babyfood, carrots, toddler",N/A,90
"Babyfood, cereal, barley, dry fortified",N/A,376
"Babyfood, cereal, barley, prepared with whole milk",N/A,84
"Babyfood, cereal, brown rice, dry, instant",N/A,406
"Babyfood, cereal, egg yolks and bacon, junior",N/A,331
"Babyfood, cereal, high protein, prepared with whole milk",N/A,464
"Babyfood, cereal, high protein, with apple and orange, dry",N/A,1560
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",N/A,469
"Babyfood, cereal, mixed, dry fortified",N/A,399
"Babyfood, cereal, mixed, prepared with whole milk",N/A,402
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",N/A,84
"Babyfood, cereal, mixed, with applesauce and bananas, strained",N/A,343
"Babyfood, cereal, mixed, with bananas, dry",N/A,1640
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",N/A,362
"Babyfood, cereal, mixed, with honey, prepared with whole milk",N/A,481
"Babyfood, cereal, oatmeal, dry fortified",N/A,1650
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",N/A,396
"Babyfood, cereal, oatmeal, prepared with whole milk",N/A,485
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",N/A,76
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",N/A,312
"Babyfood, cereal, oatmeal, with bananas, dry",N/A,399
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",N/A,86
"Babyfood, cereal, oatmeal, with honey, dry",N/A,1640
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",N/A,481
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",N/A,1630
"Babyfood, cereal, rice, dry fortified",N/A,390
"Babyfood, cereal, rice, prepared with whole milk",N/A,357
"Babyfood, cereal, rice, with applesauce and bananas, strained",N/A,80
"Babyfood, cereal, rice, with bananas, dry",N/A,1690
"Babyfood, cereal, rice, with bananas, prepared with whole milk",N/A,86
"Babyfood, cereal, rice, with honey, prepared with whole milk",N/A,481
"Babyfood, cereal, whole wheat, with apples, dry fortified",N/A,402
"Babyfood, cereal, with egg yolks, junior",N/A,218
"Babyfood, cereal, with egg yolks, strained",N/A,213
"Babyfood, cereal, with eggs, strained",N/A,243
"Babyfood, cherry cobbler, junior",N/A,78
"Babyfood, cookie, baby, fruit",N/A,1820
"Babyfood, cookies",N/A,1810
"Babyfood, cookies, arrowroot",N/A,1770
"Babyfood, corn and sweet potatoes, strained",N/A,68
"Babyfood, crackers, vegetable",N/A,477
"Babyfood, dessert, banana pudding, strained",N/A,68
"Babyfood, dessert, banana yogurt, strained",N/A,328
"Babyfood, dessert, blueberry yogurt, strained",N/A,320
"Babyfood, dessert, cherry vanilla pudding, junior",N/A,289
"Babyfood, dessert, cherry vanilla pudding, strained",N/A,285
"Babyfood, dessert, custard pudding, vanilla, junior",N/A,360
"Babyfood, dessert, custard pudding, vanilla, strained",N/A,356
"Babyfood, dessert, dutch apple, junior",N/A,79
"Babyfood, dessert, dutch apple, strained",N/A,314
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",N/A,264
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",N/A,247
"Babyfood, dessert, fruit pudding, orange, strained",N/A,335
"Babyfood, dessert, fruit pudding, pineapple, strained",N/A,339
"Babyfood, dessert, peach cobbler, junior",N/A,280
"Babyfood, dessert, peach cobbler, strained",N/A,272
"Babyfood, dessert, peach melba, junior",N/A,251
"Babyfood, dessert, peach melba, strained",N/A,251
"Babyfood, dessert, peach yogurt",N/A,324
"Babyfood, dessert, tropical fruit, junior",N/A,251
"Babyfood, dinner, apples and chicken, strained",N/A,272
"Babyfood, dinner, beef and rice, toddler",N/A,343
"Babyfood, dinner, beef lasagna, toddler",N/A,322
"Babyfood, dinner, beef noodle, junior",N/A,239
"Babyfood, dinner, beef noodle, strained",N/A,264
"Babyfood, dinner, beef with vegetables",N/A,402
"Babyfood, dinner, broccoli and chicken, junior",N/A,62
"Babyfood, dinner, chicken and rice",N/A,215
"Babyfood, dinner, chicken noodle, junior",N/A,74
"Babyfood, dinner, chicken noodle, strained",N/A,311
"Babyfood, dinner, chicken soup, strained",N/A,209
"Babyfood, dinner, chicken stew, toddler",N/A,326
"Babyfood, dinner, macaroni and cheese, junior",N/A,255
"Babyfood, dinner, macaroni and cheese, strained",N/A,280
"Babyfood, dinner, macaroni and tomato and beef, junior",N/A,247
"Babyfood, dinner, macaroni and tomato and beef, strained",N/A,255
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",N/A,343
"Babyfood, dinner, mixed vegetable, junior",N/A,34
"Babyfood, dinner, mixed vegetable, strained",N/A,172
"Babyfood, dinner, pasta with vegetables",N/A,251
"Babyfood, dinner, spaghetti and tomato and meat, junior",N/A,68
"Babyfood, dinner, spaghetti and tomato and meat, toddler",N/A,314
"Babyfood, dinner, sweet potatoes and chicken, strained",N/A,74
"Babyfood, dinner, turkey and rice, junior",N/A,234
"Babyfood, dinner, turkey and rice, strained",N/A,218
"Babyfood, dinner, turkey, rice, and vegetables, toddler",N/A,249
"Babyfood, dinner, vegetables and beef, junior",N/A,77
"Babyfood, dinner, vegetables and beef, strained",N/A,77
"Babyfood, dinner, vegetables and chicken, junior",N/A,222
"Babyfood, dinner, vegetables and dumplings and beef, junior",N/A,201
"Babyfood, dinner, vegetables and dumplings and beef, strained",N/A,201
"Babyfood, dinner, vegetables and lamb, junior",N/A,213
"Babyfood, dinner, vegetables and noodles and turkey, junior",N/A,218
"Babyfood, dinner, vegetables and noodles and turkey, strained",N/A,184
"Babyfood, dinner, vegetables and turkey, junior",N/A,222
"Babyfood, dinner, vegetables and turkey, strained",N/A,201
"Babyfood, dinner, vegetables chicken, strained",N/A,247
"Babyfood, dinner, vegetables, noodles and chicken, junior",N/A,268
"Babyfood, dinner, vegetables, noodles and chicken, strained",N/A,264
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",N/A,344
"Babyfood, fortified cereal bar, fruit filling",N/A,344
"Babyfood, fruit and vegetable, apple and sweet potato",N/A,64
"Babyfood, fruit dessert, mango with tapioca",N/A,70
"Babyfood, fruit supreme dessert",N/A,73
"Babyfood, fruit, apple and blueberry, junior",N/A,259
"Babyfood, fruit, apple and blueberry, strained",N/A,255
"Babyfood, fruit, apple and raspberry, junior",N/A,242
"Babyfood, fruit, apple and raspberry, strained",N/A,243
"Babyfood, fruit, applesauce and apricots, junior",N/A,197
"Babyfood, fruit, applesauce and apricots, strained",N/A,44
"Babyfood, fruit, applesauce and cherries, junior",N/A,212
"Babyfood, fruit, applesauce and cherries, strained",N/A,51
"Babyfood, fruit, applesauce and pineapple, junior",N/A,163
"Babyfood, fruit, applesauce and pineapple, strained",N/A,155
"Babyfood, fruit, applesauce with banana, junior",N/A,276
"Babyfood, fruit, applesauce, junior",N/A,155
"Babyfood, fruit, applesauce, strained",N/A,172
"Babyfood, fruit, apricot with tapioca, junior",N/A,264
"Babyfood, fruit, apricot with tapioca, strained",N/A,250
"Babyfood, fruit, banana and strawberry, junior",N/A,457
"Babyfood, fruit, bananas and pineapple with tapioca, junior",N/A,285
"Babyfood, fruit, bananas and pineapple with tapioca, strained",N/A,272
"Babyfood, fruit, bananas with apples and pears, strained",N/A,347
"Babyfood, fruit, bananas with tapioca, junior",N/A,280
"Babyfood, fruit, bananas with tapioca, strained",N/A,236
"Babyfood, fruit, guava and papaya with tapioca, strained",N/A,264
"Babyfood, fruit, papaya and applesauce with tapioca, strained",N/A,293
"Babyfood, fruit, peaches, junior",N/A,65
"Babyfood, fruit, peaches, strained",N/A,271
"Babyfood, fruit, pears and pineapple, junior",N/A,184
"Babyfood, fruit, pears and pineapple, strained",N/A,172
"Babyfood, fruit, pears, junior",N/A,182
"Babyfood, fruit, pears, strained",N/A,174
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",N/A,74
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",N/A,297
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",N/A,293
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",N/A,291
"Babyfood, fruit, tutti frutti, junior",N/A,69
"Babyfood, fruit, tutti frutti, strained",N/A,277
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",N/A,64
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",N/A,201
"Babyfood, GERBER, Banana with orange medley",N/A,69
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",N/A,407
"Babyfood, grape juice, no sugar, canned",N/A,62
"Babyfood, green beans and turkey, strained",N/A,51
"Babyfood, green beans, dices, toddler",N/A,29
"Babyfood, juice treats, fruit medley, toddler",N/A,347
"Babyfood, juice, apple",N/A,197
"Babyfood, juice, apple - cherry",N/A,197
"Babyfood, juice, apple and grape",N/A,194
"Babyfood, juice, apple and peach",N/A,179
"Babyfood, juice, apple and prune",N/A,303
"Babyfood, juice, apple, with calcium",N/A,46
"Babyfood, juice, apple-sweet potato",N/A,195
"Babyfood, juice, fruit punch, with calcium",N/A,218
"Babyfood, juice, mixed fruit",N/A,47
"Babyfood, juice, orange",N/A,45
"Babyfood, juice, orange and apple",N/A,180
"Babyfood, juice, orange and apple and banana",N/A,197
"Babyfood, juice, orange and apricot",N/A,192
"Babyfood, juice, orange and banana",N/A,209
"Babyfood, juice, orange and pineapple",N/A,201
"Babyfood, juice, orange-carrot",N/A,180
"Babyfood, juice, pear",N/A,179
"Babyfood, juice, prune and orange",N/A,293
"Babyfood, macaroni and cheese, toddler",N/A,344
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",N/A,202
"Babyfood, meat, beef with vegetables, toddler",N/A,69
"Babyfood, meat, beef, junior",N/A,337
"Babyfood, meat, beef, strained",N/A,81
"Babyfood, meat, chicken sticks, junior",N/A,787
"Babyfood, meat, chicken, junior",N/A,146
"Babyfood, meat, chicken, strained",N/A,130
"Babyfood, meat, ham, junior",N/A,407
"Babyfood, meat, ham, strained",N/A,97
"Babyfood, meat, lamb, junior",N/A,468
"Babyfood, meat, lamb, strained",N/A,394
"Babyfood, meat, meat sticks, junior",N/A,770
"Babyfood, meat, pork, strained",N/A,518
"Babyfood, meat, turkey sticks, junior",N/A,787
"Babyfood, meat, turkey, junior",N/A,111
"Babyfood, meat, turkey, strained",N/A,463
"Babyfood, meat, veal, strained",N/A,81
"Babyfood, mixed fruit juice with low fat yogurt",N/A,74
"Babyfood, mixed fruit yogurt, strained",N/A,75
"Babyfood, Multigrain whole grain cereal, dry fortified",N/A,407
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",N/A,1680
"Babyfood, peaches, dices, toddler",N/A,213
"Babyfood, pears, dices, toddler",N/A,57
"Babyfood, peas and brown rice",N/A,268
"Babyfood, peas, dices, toddler",N/A,268
"Babyfood, plums, bananas and rice, strained",N/A,57
"Babyfood, potatoes, toddler",N/A,217
"Babyfood, pretzels",N/A,1660
"Babyfood, prunes, without vitamin c, strained",N/A,100
"Babyfood, ravioli, cheese filled, with tomato sauce",N/A,414
"Babyfood, rice and apples, dry",N/A,1660
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron",N/A,1620
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",N/A,1380
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",N/A,503
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",N/A,1590
"Babyfood, tropical fruit medley",N/A,46
"Babyfood, vegetable and brown rice, strained",N/A,69
"Babyfood, vegetable, butternut squash and corn",N/A,50
"Babyfood, vegetable, green beans and potatoes",N/A,259
"Babyfood, vegetables, beets, strained",N/A,142
"Babyfood, vegetables, carrots, junior",N/A,134
"Babyfood, vegetables, carrots, strained",N/A,26
"Babyfood, vegetables, corn, creamed, junior",N/A,272
"Babyfood, vegetables, corn, creamed, strained",N/A,238
"Babyfood, vegetables, garden vegetable, strained",N/A,32
"Babyfood, vegetables, green beans, junior",N/A,102
"Babyfood, vegetables, green beans, strained",N/A,27
"Babyfood, vegetables, mix vegetables junior",N/A,151
"Babyfood, vegetables, mix vegetables strained",N/A,150
"Babyfood, vegetables, peas, strained",N/A,50
"Babyfood, vegetables, spinach, creamed, strained",N/A,155
"Babyfood, vegetables, squash, junior",N/A,101
"Babyfood, vegetables, squash, strained",N/A,28
"Babyfood, vegetables, sweet potatoes strained",N/A,238
"Babyfood, vegetables, sweet potatoes, junior",N/A,252
"Babyfood, water, bottled, GERBER, without added fluoride",N/A,0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",N/A,411
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",N/A,385
Bacalaitos fritos,N/A,281
Bacon and beef sticks,N/A,517
Bacon and tomato dressing,N/A,326
Bacon biscuit sandwich,N/A,382
Bacon bits,N/A,476
"Bacon bits, meatless",N/A,1990
"Bacon or side pork, fresh, cooked",N/A,468
"Bacon strip, meatless",N/A,309
"Bacon, for use on a sandwich",N/A,494
"Bacon, for use with vegetables",N/A,468
"Bacon, lettuce, tomato sandwich on wheat",N/A,229
"Bacon, lettuce, tomato sandwich on white",N/A,231
"Bacon, meatless",N/A,1290
"Bacon, NS as to type of meat, cooked",N/A,484
"Bacon, NS as to type of meat, reduced sodium, cooked",N/A,253
"Bacon, pre-sliced, reduced/low sodium, unprepared",N/A,1700
"Bacon, turkey, low sodium",N/A,253
"Bacon, turkey, microwaved",N/A,368
"Bacon, turkey, unprepared",N/A,226
Bagel,N/A,264
Bagel chips,N/A,451
"Bagel, multigrain",N/A,250
"Bagel, multigrain, with raisins",N/A,255
"Bagel, oat bran",N/A,250
"Bagel, pumpernickel",N/A,250
"Bagel, wheat",N/A,250
"Bagel, wheat bran",N/A,250
"Bagel, wheat, with fruit and nuts",N/A,263
"Bagel, wheat, with raisins",N/A,255
"Bagel, whole grain white",N/A,250
"Bagel, whole wheat",N/A,250
"Bagel, whole wheat, with raisins",N/A,255
"Bagel, with fruit other than raisins",N/A,243
"Bagel, with raisins",N/A,268
"Bagels, cinnamon-raisin",N/A,1150
"Bagels, cinnamon-raisin, toasted",N/A,1230
"Bagels, egg",N/A,1160
"Bagels, multigrain",N/A,1010
"Bagels, oat bran",N/A,1070
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",N/A,1100
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",N/A,1200
"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",N/A,1150
"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",N/A,1150
"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",N/A,1150
"Bagels, wheat",N/A,1050
"Bagels, whole grain white",N/A,255
Baked beans,N/A,105
Baked beans from fast food / restaurant,N/A,116
"Baked beans, reduced sodium",N/A,104
"Baked beans, vegetarian",N/A,94
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",N/A,502
"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",N/A,517
"Baking chocolate, mexican, squares",N/A,426
"Baking chocolate, unsweetened, liquid",N/A,472
"Baking chocolate, unsweetened, squares",N/A,2680
Baklava,N/A,440
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",N/A,136
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",N/A,144
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",N/A,19
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",N/A,19
"Bamboo shoots, canned, drained solids",N/A,19
"Bamboo shoots, cooked",N/A,41
"Bamboo shoots, cooked, boiled, drained, with salt",N/A,11
"Bamboo shoots, cooked, boiled, drained, without salt",N/A,50
Banana chips,N/A,519
Banana nectar,N/A,74
Banana pudding,N/A,160
Banana split,N/A,199
"Banana, baked",N/A,161
"Banana, raw",N/A,97
"Bananas, dehydrated, or banana powder",N/A,1450
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",N/A,650
Bao bun,N/A,273
"Bao bun, no meat",N/A,268
Baobab powder,N/A,250
"Barbecue beef sandwich, on wheat bun",N/A,240
"Barbecue beef sandwich, on white bun",N/A,245
"Barbecue beef, no sauce",N/A,252
"Barbecue beef, with sauce",N/A,228
Barbecue chicken,N/A,167
"Barbecue chicken sandwich, on wheat bun",N/A,199
"Barbecue chicken sandwich, on white bun",N/A,204
"Barbecue loaf, pork, beef",N/A,724
"Barbecue meat, NFS",N/A,226
"Barbecue pork sandwich, on wheat bun",N/A,238
"Barbecue pork sandwich, on white bun",N/A,243
"Barbecue pork, no sauce",N/A,249
"Barbecue pork, with sauce",N/A,226
Barbecue rib sandwich,N/A,223
"Barbecue sandwich, NFS",N/A,238
Barbecue sauce,N/A,172
"Barfi or Burfi, Indian dessert",N/A,284
Barley,N/A,139
Barley flour or meal,N/A,1440
Barley malt flour,N/A,1510
"Barley, pearled, cooked",N/A,123
"Barley, pearled, raw",N/A,1470
Basbousa,N/A,282
"Basil, raw",N/A,23
Bean cake,N/A,414
Bean chips,N/A,448
"Bean dip, made with refried beans",N/A,119
"Bean paste, sweetened",N/A,226
"Bean salad, yellow and/or green string beans",N/A,109
"Bean sprouts, cooked",N/A,116
"Bean sprouts, raw",N/A,30
Beans and brown rice,N/A,162
Beans and franks,N/A,138
"Beans and rice, from fast food / restaurant",N/A,185
"Beans and rice, with meat",N/A,162
"Beans and rice, with tomatoes",N/A,137
"Beans and tomatoes, fat added",N/A,142
"Beans and tomatoes, no added fat",N/A,101
Beans and white rice,N/A,164
"Beans with meat, NS as to type",N/A,184
"Beans, adzuki, mature seed, cooked, boiled, with salt",N/A,536
"Beans, adzuki, mature seeds, canned, sweetened",N/A,992
"Beans, adzuki, mature seeds, cooked, boiled, without salt",N/A,536
"Beans, baked, canned, no salt added",N/A,438
"Beans, baked, canned, plain or vegetarian",N/A,94
"Beans, baked, canned, with beef",N/A,506
"Beans, baked, canned, with franks",N/A,596
"Beans, baked, canned, with pork",N/A,106
"Beans, baked, canned, with pork and sweet sauce",N/A,441
"Beans, baked, canned, with pork and tomato sauce",N/A,94
"Beans, baked, home prepared",N/A,155
"Beans, black turtle, mature seeds, canned",N/A,380
"Beans, black turtle, mature seeds, cooked, boiled, with salt",N/A,544
"Beans, black turtle, mature seeds, cooked, boiled, without salt",N/A,544
"Beans, black, canned, sodium added, drained and rinsed",N/A,N/A
"Beans, black, mature seeds, canned, low sodium",N/A,380
"Beans, black, mature seeds, cooked, boiled, with salt",N/A,552
"Beans, black, mature seeds, cooked, boiled, without salt",N/A,552
"Beans, cannellini, canned, sodium added, drained and rinsed",N/A,N/A
"Beans, cannellini, dry",N/A,N/A
"Beans, chili, barbecue, ranch style, cooked",N/A,404
"Beans, cranberry (roman), mature seeds, canned",N/A,347
"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",N/A,569
"Beans, cranberry (roman), mature seeds, cooked, boiled, without salt",N/A,569
"Beans, Dry, Black (0% moisture)",N/A,N/A
"Beans, Dry, Brown (0% moisture)",N/A,N/A
"Beans, Dry, Carioca (0% moisture)",N/A,N/A
"Beans, Dry, Cranberry (0% moisture)",N/A,N/A
"Beans, Dry, Dark Red Kidney (0% moisture)",N/A,N/A
"Beans, Dry, Flor de Mayo (0% moisture)",N/A,N/A
"Beans, Dry, Great Northern (0% moisture)",N/A,N/A
"Beans, Dry, Light Red Kidney (0% moisture)",N/A,N/A
"Beans, Dry, Light Tan (0% moisture)",N/A,N/A
"Beans, Dry, Medium Red (0% moisture)",N/A,N/A
"Beans, Dry, Navy (0% moisture)",N/A,N/A
"Beans, Dry, Pink (0% moisture)",N/A,N/A
"Beans, Dry, Pinto (0% moisture)",N/A,N/A
"Beans, Dry, Red (0% moisture)",N/A,N/A
"Beans, Dry, Small Red (0% moisture)",N/A,N/A
"Beans, Dry, Small White (0% moisture)",N/A,N/A
"Beans, Dry, Tan (0% moisture)",N/A,N/A
"Beans, french, mature seeds, cooked, boiled, with salt",N/A,540
"Beans, french, mature seeds, cooked, boiled, without salt",N/A,540
"Beans, from canned, NS as to type, fat added",N/A,185
"Beans, from canned, NS as to type, no added fat",N/A,136
"Beans, from dried, NS as to type, fat added",N/A,189
"Beans, from dried, NS as to type, no added fat",N/A,139
"Beans, from fast food / restaurant, NS as to type",N/A,206
"Beans, great northern, canned, sodium added, drained and rinsed",N/A,N/A
"Beans, great northern, mature seeds, canned",N/A,114
"Beans, great northern, mature seeds, canned, low sodium",N/A,114
"Beans, great northern, mature seeds, cooked, boiled, with salt",N/A,494
"Beans, great northern, mature seeds, cooked, boiled, without salt",N/A,494
"Beans, kidney, all types, mature seeds, canned",N/A,84
"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",N/A,127
"Beans, kidney, all types, mature seeds, cooked, boiled, without salt",N/A,532
"Beans, kidney, california red, mature seeds, cooked, boiled, with salt",N/A,519
"Beans, kidney, california red, mature seeds, cooked, boiled, without salt",N/A,519
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",N/A,N/A
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",N/A,N/A
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",N/A,138
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",N/A,138
"Beans, kidney, red, mature seeds, canned, drained solids",N/A,124
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",N/A,505
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",N/A,341
"Beans, kidney, red, mature seeds, canned, solids and liquids",N/A,81
"Beans, kidney, red, mature seeds, cooked, boiled, with salt",N/A,127
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",N/A,532
"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",N/A,515
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",N/A,515
"Beans, liquid from stewed kidney beans",N/A,197
"Beans, mung, mature seeds, sprouted, canned, drained solids",N/A,48
"Beans, navy, canned, sodium added, drained and rinsed",N/A,N/A
"Beans, navy, mature seeds, canned",N/A,473
"Beans, navy, mature seeds, cooked, boiled, with salt",N/A,140
"Beans, navy, mature seeds, cooked, boiled, without salt",N/A,585
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",N/A,78
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",N/A,325
"Beans, NFS",N/A,189
"Beans, pink, mature seeds, cooked, boiled, with salt",N/A,623
"Beans, pink, mature seeds, cooked, boiled, without salt",N/A,623
"Beans, pinto, canned, drained solids",N/A,475
"Beans, pinto, canned, sodium added, drained and rinsed",N/A,N/A
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",N/A,162
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",N/A,162
"Beans, pinto, immature seeds, frozen, unprepared",N/A,711
"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",N/A,117
"Beans, pinto, mature seeds, canned, solids and liquids",N/A,345
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",N/A,82
"Beans, pinto, mature seeds, cooked, boiled, with salt",N/A,143
"Beans, pinto, mature seeds, cooked, boiled, without salt",N/A,143
"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, with salt",N/A,82
"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, without salt",N/A,92
"Beans, shellie, canned, solids and liquids",N/A,30
"Beans, small white, mature seeds, cooked, boiled, with salt",N/A,594
"Beans, small white, mature seeds, cooked, boiled, without salt",N/A,594
"Beans, snap, canned, all styles, seasoned, solids and liquids",N/A,67
"Beans, snap, green, canned, no salt added, drained solids",N/A,92
"Beans, snap, green, canned, no salt added, solids and liquids",N/A,15
"Beans, snap, green, canned, regular pack, drained solids",N/A,21
"Beans, snap, green, canned, regular pack, drained solids",N/A,21
"Beans, snap, green, canned, regular pack, solids and liquids",N/A,15
"Beans, snap, green, cooked, boiled, drained, with salt",N/A,147
"Beans, snap, green, cooked, boiled, drained, without salt",N/A,147
"Beans, snap, green, frozen, all styles, microwaved",N/A,33
"Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)",N/A,138
"Beans, snap, green, frozen, cooked, boiled, drained without salt",N/A,117
"Beans, snap, green, frozen, cooked, boiled, drained, with salt",N/A,117
"Beans, snap, green, microwaved",N/A,137
"Beans, snap, green, raw",N/A,N/A
"Beans, snap, yellow, canned, no salt added, drained solids",N/A,20
"Beans, snap, yellow, canned, no salt added, solids and liquids",N/A,15
"Beans, snap, yellow, canned, regular pack, drained solids",N/A,20
"Beans, snap, yellow, canned, regular pack, solids and liquids",N/A,63
"Beans, snap, yellow, cooked, boiled, drained, with salt",N/A,147
"Beans, snap, yellow, cooked, boiled, drained, without salt",N/A,35
"Beans, snap, yellow, frozen, all styles, unprepared",N/A,139
"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",N/A,117
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",N/A,28
"Beans, white, mature seeds, canned",N/A,477
"Beans, white, mature seeds, cooked, boiled, with salt",N/A,139
"Beans, white, mature seeds, cooked, boiled, without salt",N/A,581
"Beans, yellow, mature seeds, cooked, boiled, with salt",N/A,601
"Beans, yellow, mature seeds, cooked, boiled, without salt",N/A,601
Bear,N/A,257
Beaver,N/A,210
Beef and broccoli,N/A,160
Beef and macaroni with cheese sauce,N/A,137
Beef and noodles with cream or white sauce,N/A,140
Beef and noodles with gravy,N/A,139
Beef and noodles with mushroom sauce,N/A,136
Beef and noodles with soy-based sauce,N/A,173
Beef and noodles with tomato-based sauce,N/A,115
"Beef and noodles, no sauce",N/A,189
Beef and potatoes with cheese sauce,N/A,126
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",N/A,100
"Beef and potatoes, no sauce",N/A,133
Beef and rice with cheese sauce,N/A,142
Beef and rice with cream sauce,N/A,139
Beef and rice with gravy,N/A,137
Beef and rice with mushroom sauce,N/A,135
Beef and rice with soy-based sauce,N/A,178
Beef and rice with tomato-based sauce,N/A,136
"Beef and rice, no sauce",N/A,146
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",N/A,122
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",N/A,121
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",N/A,147
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",N/A,115
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",N/A,116
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",N/A,144
"Beef and vegetables, Hawaiian style",N/A,93
Beef as ingredient in recipes,N/A,261
Beef burgundy,N/A,148
Beef chow mein or chop suey with noodles,N/A,129
