Food Name,Portion Size,Calories (kcal)
"Crustaceans, crab, alaska king, raw",N/A,351
"Crustaceans, crab, blue, raw",N/A,364
"Crustaceans, crab, dungeness, raw",N/A,360
"Crustaceans, crab, queen, raw",N/A,377
"Crustaceans, crayfish, mixed species, farmed, raw",N/A,301
"Crustaceans, crayfish, mixed species, wild, raw",N/A,322
"Crustaceans, lobster, northern, raw",N/A,324
"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",N/A,71
"Crustaceans, spiny lobster, mixed species, raw",N/A,469
"Cucumber, with peel, raw",N/A,15
"Currants, european black, raw",N/A,264
"Currants, red and white, raw",N/A,234
"Currants, zante, dried",N/A,1220
"Custard-apple, (bullock's-heart), raw",N/A,423
"Dandelion greens, raw",N/A,45
"Dates, deglet noor",N/A,282
"Dates, medjool",N/A,1160
"Deer (venison), sitka, raw (Alaska Native)",N/A,116
"Dill weed, fresh",N/A,180
"Dock, raw",N/A,92
"Drumstick leaves, raw",N/A,268
"Drumstick pods, raw",N/A,155
"Duck, domesticated, meat and skin, raw",N/A,404
"Duck, scoter, white-winged, meat (Alaska Native)",N/A,353
"Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted",N/A,845
"Duck, young duckling, domesticated, White Pekin, breast, meat only, boneless, cooked without skin, broiled",N/A,586
"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",N/A,908
"Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised",N/A,745
"Durian, raw or frozen",N/A,147
"Eggplant, raw",N/A,25
"Elderberries, raw",N/A,305
"Emu, fan fillet, cooked, broiled",N/A,154
"Emu, fan fillet, raw",N/A,432
"Emu, flat fillet, raw",N/A,102
"Emu, full rump, cooked, broiled",N/A,168
"Emu, full rump, raw",N/A,469
"Emu, ground, cooked, pan-broiled",N/A,683
"Emu, ground, raw",N/A,134
"Emu, inside drum, raw",N/A,453
"Emu, inside drums, cooked, broiled",N/A,156
"Emu, outside drum, raw",N/A,430
"Emu, oyster, raw",N/A,141
"Emu, top loin, cooked, broiled",N/A,638
"Endive, raw",N/A,71
"Epazote, raw",N/A,134
"Eppaw, raw",N/A,628
"Feijoa, raw",N/A,254
"Fennel, bulb, raw",N/A,31
"Fiddlehead ferns, raw",N/A,34
"Figs, raw",N/A,74
"Fireweed, leaves, raw",N/A,431
"Fireweed, young leaves, raw (Alaska Native)",N/A,186
"Fish, anchovy, european, raw",N/A,548
"Fish, bass, fresh water, mixed species, raw",N/A,477
"Fish, bass, striped, raw",N/A,406
"Fish, blackfish, whole (Alaska Native)",N/A,82
"Fish, bluefish, raw",N/A,519
"Fish, burbot, raw",N/A,377
"Fish, butterfish, raw",N/A,611
"Fish, carp, raw",N/A,531
"Fish, catfish, channel, farmed, raw",N/A,119
"Fish, catfish, channel, wild, raw",N/A,397
"Fish, cisco, raw",N/A,410
"Fish, cod, Atlantic, raw",N/A,82
"Fish, cod, Pacific, raw (may have been previously frozen)",N/A,288
"Fish, croaker, Atlantic, raw",N/A,435
"Fish, cusk, raw",N/A,364
"Fish, devilfish, meat (Alaska Native)",N/A,97
"Fish, drum, freshwater, raw",N/A,498
"Fish, eel, mixed species, raw",N/A,770
"Fish, flatfish (flounder and sole species), raw",N/A,70
"Fish, grouper, mixed species, raw",N/A,385
"Fish, haddock, raw",N/A,74
"Fish, haddock, raw",N/A,74
"Fish, halibut, Atlantic and Pacific, raw",N/A,91
"Fish, halibut, Greenland, raw",N/A,778
"Fish, herring eggs on giant kelp, Pacific (Alaska Native)",N/A,63
"Fish, herring eggs, Pacific, dry (Alaska Native)",N/A,1310
"Fish, herring eggs, Pacific, plain (Alaska Native)",N/A,74
"Fish, herring, Atlantic, raw",N/A,661
"Fish, herring, Pacific, flesh, air-dried, packed in oil (Alaska Native)",N/A,2050
"Fish, herring, Pacific, raw",N/A,816
"Fish, ling, raw",N/A,364
"Fish, lingcod, liver (Alaska Native)",N/A,424
"Fish, lingcod, meat, raw (Alaska Native)",N/A,330
"Fish, lingcod, raw",N/A,356
"Fish, mackerel, Atlantic, raw",N/A,858
"Fish, mackerel, jack, canned, drained solids",N/A,653
"Fish, mackerel, king, raw",N/A,439
"Fish, mackerel, Pacific and jack, mixed species, raw",N/A,661
